Index,FileName,formation_annotatoed,Duration_sec,GPSCoordinates,LocalTime,TripNo,FlightNo,whales,Glare,Sea,Focus,Exposure,Quality Rating,interspecies_status,nadir_shot_available,snapshot_taken,MainActivity,flipper_visible,reason_not taken?,morphometrix_measured,Sleap_Lables_for_Training,pMales,pAdults,pCalves,pOtherSpecies,MaxNumber,Describe,OriginalFileName,exclude for other reasons?,,,
62,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_083257.MP4,,693.025667,0.8581 -89.1591,2023-02-18 08:32,2,56,whales,1,1,0,0,2,,,,socializing,,,,,no,yes,yes,no,10,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0076.MP4,,,,
63,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_084819.MP4,,723.255867,0.8631 -89.1533,2023-02-18 08:48,2,57,whales,1,1,0,0,2,,yes,yes,socializing,,,yes,,no,yes,yes,no,11,body rubbing and splitting & joining - mouthing!,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0077.MP4,,,,
64,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_090359.MP4,,741.9412,0.8717 -89.1532,2023-02-18 09:03,2,58,whales,1,1,1,0,3,,,,socializing,,,,,no,yes,yes,no,20,cuddle puddle,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0078.MP4,,,,
65,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_091623.MP4,,14.6479667,0.8769 -89.1493,2023-02-18 09:16,2,59,blank,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,clock,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0079.MP4,,,,
66,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_092403.MP4,,320.787133,0.8789 -89.1521,2023-02-18 09:24,2,60,whales,0,1,1,1,3,,,,socializing,,,,,no,yes,yes,no,15,cuddle puddle,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0080.MP4,,,,
67,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_114754.MP4,,663.3627,0.9622 -89.2052,2023-02-18 11:47,2,61,whales,2,1,2,0,5,,,,socializing,,,,,no,yes,yes,no,10,body rubbing - poor quality,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0081.MP4,not perpendicular,,,
68,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_120102.MP4,,418.084333,0.9698 -89.2082,2023-02-18 12:01,2,62,whales,2,1,1,0,4,,,,breathing,,,,,yes,yes,no,no,8,2 clusters - one with male,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0082.MP4,not perpendicular,,,
69,/Volumes/GalDron23B/Drone_2023/NA/Gal2023_DJIMini2_20230218_120817.MP4,,33.4000333,0.9732 -89.2142,2023-02-18 12:08,2,63,NA,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,NA,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0085.MP4,,,,
70,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_120922.MP4,,209.375833,0.9739 -89.2149,2023-02-18 12:09,2,63,whales,0,1,1,0,2,,,,breathing,,,,,yes,yes,no,no,3,1 cluster - not perpendicular,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0089.MP4,not perpendicular,,,
71,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_121722.MP4,,771.8711,0.9782 -89.2189,2023-02-18 12:17,2,64,whales,1,1,0,0,2,,,,breathing,,,,,yes,yes,no,no,2,male adult pair,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0090.MP4,not perpendicular,,,
72,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_123550.MP4,,602.268333,0.988 -89.2277,2023-02-18 12:35,2,65,whales,1,1,2,0,4,,,,breathing,,,,,no,yes,no,no,10,too much glare,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0091.MP4,not perpendicular,,,
73,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_150400.MP4,,739.739,1.0616 -89.2939,2023-02-18 15:04,2,66,whales,1,1,1,0,3,,yes,yes,socializing,,,yes,,no,yes,yes,no,6,clusters splitting and joining,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0092.MP4,,,,
74,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_151910.MP4,,785.317867,1.0646 -89.3017,2023-02-18 15:19,2,67,whales,1,1,0,0,2,,,,socializing,,,,,no,yes,yes,no,5,"clusters splitting and joining, mouthing, breaching",/Volumes/GalDron23B/Drone_2023/02182023/DJI_0093.MP4,,,,
75,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_155002.MP4,,702.368333,1.0558 -89.3201,2023-02-18 15:50,2,68,whales,1,1,0,0,2,,,,socializing,,,,,no,yes,yes,no,10,clusters splitting and joining,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0095.MP4,,,,
